waktu,bi_rate,IKK,inflasi_bulanan,ritel_yoy,kredit_konsumen
1/1/2021,3.75,84.9,0.26,-16.4,2.55
2/1/2021,3.5,85.8,0.1,-18.1,2.56
3/1/2021,3.5,93.4,0.08,-14.6,2.58
4/1/2021,3.5,101.5,0.13,15.6,2.6
5/1/2021,3.5,104.4,0.32,14.7,2.6
6/1/2021,3.5,107.4,-0.16,2.5,2.62
7/1/2021,3.5,80.2,0.08,-2.9,2.62
8/1/2021,3.5,77.3,0.03,-2.1,2.63
9/1/2021,3.5,95.5,-0.04,-2.2,2.66
10/1/2021,3.5,113.4,0.12,6.5,2.68
11/1/2021,3.5,118.5,0.37,10.8,2.75
12/1/2021,3.5,118.3,0.57,13.8,2.77
1/1/2022,3.5,119.6,0.56,15.2,2.73
2/1/2022,3.5,113.1,-0.02,12.9,2.76
3/1/2022,3.5,111,0.66,9.3,2.8
4/1/2022,3.5,113.1,0.95,8.5,2.83
5/1/2022,3.5,128.9,0.4,2.9,2.83
6/1/2022,3.5,128.2,0.61,4.1,2.87
7/1/2022,3.5,123.2,0.64,6.2,2.88
8/1/2022,3.75,124.7,-0.21,4.9,2.91
9/1/2022,4.25,117.2,1.17,4.6,2.94
10/1/2022,4.75,120.3,-0.11,3.7,2.96
11/1/2022,5.25,119.1,0.09,1.3,2.99
12/1/2022,5.5,119.9,0.66,0.7,3.02
1/1/2023,5.75,123,0.34,-0.6,3.01
2/1/2023,5.75,122.4,0.16,0.6,3.03
3/1/2023,5.75,123.3,0.18,4.9,3.07
4/1/2023,5.75,126.1,0.33,1.5,3.08
5/1/2023,5.75,128.3,0.09,-4.5,3.11
6/1/2023,5.75,127.1,0.14,7.9,3.13
7/1/2023,5.75,123.5,0.21,1.5,3.15
8/1/2023,5.75,125.2,-0.02,1.1,3.18
9/1/2023,5.75,121.7,0.19,1.5,3.2
10/1/2023,6,124.3,0.17,2.4,3.23
11/1/2023,6,123.6,0.38,2.2,3.26
12/1/2023,6,123.8,0.41,0.2,3.3
1/1/2024,6,125,0.04,1.1,3.3
2/1/2024,6,123.1,0.37,6.4,3.3
3/1/2024,6,123.8,0.52,9.3,3.31
4/1/2024,6.25,127.7,0.25,-2.7,3.31
5/1/2024,6.25,125.2,-0.03,2.1,3.33
6/1/2024,6.25,123.3,-0.08,2.7,3.34
7/1/2024,6.25,123.4,-0.18,4.5,3.36
8/1/2024,6.25,124.4,-0.03,5.8,3.38
9/1/2024,6,123.5,-0.12,4.8,3.41
10/1/2024,6,121.1,0.08,1.5,3.43
11/1/2024,6,125.9,0.3,0.9,3.41
12/1/2024,6,127.7,0.44,1.8,3.45
1/1/2025,5.75,127.2,-0.76,0.5,3.41
2/1/2025,5.75,126.4,-0.48,2,3.46
3/1/2025,5.75,121.1,1.65,5.5,3.47
4/1/2025,5.75,121.7,1.17,-0.3,3.47
5/1/2025,5.5,117.5,-0.37,1.9,3.48
6/1/2025,5.5,117.8,0.19,1.3,3.5
7/1/2025,5.25,118.1,0.3,1.05,3.5
