waktu;bi_policy_rate_pct;inflation_yoy_pct;consumer_confidence_index;is_lebaran_season;is_giias_month
    2021-01-01;3,75;1,55;84,9;0;0
    2021-02-01;3,5;1,38;85,8;0;0
    2021-03-01;3,5;1,37;93,4;0;0
    2021-04-01;3,5;1,42;101,5;1;0
    2021-05-01;3,5;1,68;104,4;1;0
    2021-06-01;3,5;1,33;107,4;0;0
    2021-07-01;3,5;1,52;80,2;0;0
    2021-08-01;3,5;1,59;77,3;0;0
    2021-09-01;3,5;1,6;95,5;0;0
    2021-10-01;3,5;1,66;113,4;0;0
    2021-11-01;3,5;1,75;118,5;0;1
    2021-12-01;3,5;1,87;118,9;0;0
    2022-01-01;3,5;2,18;119,6;0;0
    2022-02-01;3,5;2,06;113,1;0;0
    2022-03-01;3,5;2,64;111;0;0
    2022-04-01;3,5;3,47;113,1;1;0
    2022-05-01;3,5;3,55;128,9;1;0
    2022-06-01;3,5;4,35;128,2;0;0
    2022-07-01;3,5;4,94;123,2;0;0
    2022-08-01;3,75;4,69;124,7;0;1
    2022-09-01;4,25;5,95;117,2;0;0
    2022-10-01;4,75;5,71;120,3;0;0
    2022-11-01;5,25;5,42;119,1;0;0
    2022-12-01;5,5;5,51;119,9;0;0
    2023-01-01;5,75;5,28;123;0;0
    2023-02-01;5,75;5,47;122,4;0;0
    2023-03-01;5,75;4,97;123,3;1;0
    2023-04-01;5,75;4,33;126,1;1;0
    2023-05-01;5,75;4;128,3;0;0
    2023-06-01;5,75;3,52;127,1;0;0
    2023-07-01;5,75;3,08;123,5;0;0
    2023-08-01;5,75;3,27;125,2;0;1
    2023-09-01;5,75;2,28;121,7;0;0
    2023-10-01;6;2,56;124,3;0;0
    2023-11-01;6;2,86;123,6;0;0
    2023-12-01;6;2,61;123,8;0;0
    2024-01-01;6;2,57;125;0;0
    2024-02-01;6;2,75;123,1;0;0
    2024-03-01;6;3,05;123,8;1;0
    2024-04-01;6,25;3;127,7;1;0
    2024-05-01;6,25;2,84;125,2;0;0
    2024-06-01;6,25;2,51;123,3;0;0
    2024-07-01;6,25;2,13;123,4;0;1
    2024-08-01;6,25;2,04;124,4;0;0
    2024-09-01;6;1,72;123,5;0;0
    2024-10-01;6;1,62;121,1;0;0
    2024-11-01;6;1,55;125,9;0;0
    2024-12-01;6;1,57;127,7;0;0
    2025-01-01;5,75;0,76;127,2;0;0
    2025-02-01;5,75;-0,09;126,4;1;0
    2025-03-01;5,75;1,03;121,1;1;0
    2025-04-01;5,75;1,95;121,7;0;0
    2025-05-01;5,5;1,6;117,5;0;0
    2025-06-01;5,5;1,87;117,8;0;0
    2025-07-01;5,25;2,37;118,1;0;1
    2025-08-01;5;2,4;118,1;0;1
